flood_case,country,continent,date_start,date_end,lat_min,lat_max,lon_min,lon_max,max_flood_extent_km2,date_of_max_flood_extent
KuroSiwo_1111002,Cameroon,Africa,2020-06-23,2020-09-15,12.1763,12.3144,14.7969,14.918,11.1,2020-09-15
KuroSiwo_1111003,Djibouti,Africa,2019-11-09,2019-11-27,11.4904,11.6087,43.0908,43.2115,0.7,2019-11-27
KuroSiwo_1111004,United States of America,North America,2017-07-24,2017-08-29,28.2371,29.803,-97.2683,-95.5378,1226.9,2017-08-29
KuroSiwo_1111005,Madagascar,Africa,2019-11-15,2020-01-26,-18.0624,-17.1597,47.95,48.7952,922.1,2020-01-26
KuroSiwo_1111006,Madagascar,Africa,2019-12-02,2020-01-31,-16.7172,-16.1185,46.3054,46.9496,246.0,2020-01-31
KuroSiwo_1111007,India,Asia,2019-07-20,2019-09-18,24.9218,26.1564,84.8402,86.4935,1115.1,2019-09-18
KuroSiwo_1111008,Nicaragua,North America,2018-04-17,2020-08-16,13.9452,14.2191,-83.6453,-83.403,44.9,2020-08-16
KuroSiwo_1111009,Pakistan,Asia,2022-06-07,2022-09-11,25.3013,28.9719,67.1011,69.6194,9296.3,2022-09-11
KuroSiwo_1111010,Peru,South America,2016-10-30,2017-03-11,-5.9012,-5.3404,-80.9453,-80.402,465.4,2017-03-11
KuroSiwo_1111011,Philippines,Asia,2020-10-20,2020-11-13,16.7234,18.4498,121.1434,122.2502,951.2,2020-11-13
KuroSiwo_1111013,United States of America,North America,2017-04-10,2017-05-04,37.453,39.2206,-91.2304,-89.0975,981.3,2017-05-04
KuroSiwo_118,Spain,Europe,2014-10-17,2015-02-02,40.8039,43.4887,-5.8996,0.8213,34.2,2015-02-02
KuroSiwo_130,Myanmar,Asia,2015-03-29,2015-09-13,16.1124,17.9402,94.2489,96.0801,714.7,2015-09-13
KuroSiwo_147,United Kingdom,Europe,2015-06-13,2015-12-10,53.2517,55.1464,-3.5574,0.125,22.9,2015-12-10
KuroSiwo_174,North Macedonia,Europe,2015-07-20,2016-08-07,40.7912,42.6977,18.9969,22.3573,1.9,2016-08-07
KuroSiwo_205,Sri Lanka,Asia,2017-01-12,2017-05-30,5.9193,7.0389,79.8473,81.4772,14.8,2017-05-30
KuroSiwo_267,Lithuania,Europe,2017-07-25,2018-02-02,54.3699,56.1245,19.925,23.5269,80.2,2018-02-02
KuroSiwo_273,Montenegro,Europe,2017-07-27,2018-03-11,40.146,43.4744,16.7747,20.4571,27.0,2018-03-11
KuroSiwo_275,Croatia,Europe,2017-07-07,2018-03-22,44.0938,45.9147,14.0365,17.5579,224.7,2018-03-22
KuroSiwo_277,Turkey,Asia,2017-07-30,2018-03-27,39.8161,43.1758,25.0699,28.7321,320.3,2018-03-27
KuroSiwo_279,Spain,Europe,2017-08-22,2018-04-13,39.0895,42.6043,-1.5345,2.832,48.6,2018-04-13
KuroSiwo_321,Honduras,North America,2017-12-11,2018-10-07,12.8517,14.8055,-87.8776,-85.302,87.6,2018-10-07
KuroSiwo_324,France,Europe,2018-07-13,2018-10-16,42.0246,43.9381,-0.1821,3.2728,33.6,2018-10-16
KuroSiwo_411,France,Europe,2019-09-02,2019-11-25,42.0454,43.9293,6.134,9.1926,5.4,2019-11-25
KuroSiwo_417,Portugal,Europe,2019-08-13,2019-12-23,39.2365,40.869,-9.2849,-7.7958,92.4,2019-12-23
KuroSiwo_421,France,Europe,2019-06-03,2020-01-23,41.6332,43.4565,2.3475,5.4665,8.0,2020-01-23
KuroSiwo_427,Sweden,Europe,2019-06-27,2020-02-22,57.4143,59.3135,9.5149,14.2638,34.4,2020-02-22
KuroSiwo_437,France,Europe,2020-03-14,2020-05-13,42.5977,44.4217,-2.116,1.3249,3.3,2020-05-13
KuroSiwo_445,Ukraine,Europe,2020-06-02,2020-06-26,47.168,49.0487,23.4249,27.1274,15.3,2020-06-26
KuroSiwo_470,Togo,Africa,2020-04-29,2020-10-14,8.2639,11.7312,-0.8627,1.9947,419.9,2020-10-14
KuroSiwo_492,France,Europe,2020-07-18,2021-01-02,42.2531,44.0729,-2.1861,1.2347,53.9,2021-01-02
KuroSiwo_496,Italy,Europe,2020-06-25,2021-01-27,41.5756,43.459,12.0783,15.157,5.5,2021-01-27
KuroSiwo_497,Netherlands,Europe,2021-01-10,2021-02-03,49.7282,53.0779,3.6026,8.0295,50.8,2021-02-03
KuroSiwo_498,France,Europe,2021-01-15,2021-02-02,43.5262,45.4354,0.1483,3.6294,3.8,2021-02-02
KuroSiwo_502,Ireland,Europe,2021-01-30,2021-02-23,51.4207,53.8145,-10.5945,-6.8719,27.4,2021-02-23
KuroSiwo_518,Belgium,Europe,2021-05-16,2021-07-15,49.2215,52.5702,3.4813,7.8478,16.0,2021-07-15
KuroSiwo_520,Germany,Europe,2020-10-01,2021-07-16,49.5031,52.8808,5.601,10.0077,12.9,2021-07-16
KuroSiwo_554,Australia,Oceania,2021-10-13,2021-11-30,-28.7623,-26.9298,148.7997,151.6772,23.7,2021-11-30
KuroSiwo_555,Spain,Europe,2021-08-18,2021-12-10,39.569,44.4541,-3.9324,-0.0287,74.6,2021-12-10
KuroSiwo_559,Madagascar,Africa,2020-08-05,2022-01-27,-19.8608,-17.8232,46.4859,49.2024,4.5,2022-01-27
KuroSiwo_561,Mozambique,Africa,2021-08-23,2022-01-26,-17.6939,-14.1535,32.6563,35.6747,31.9,2022-01-26
KuroSiwo_562,Australia,Oceania,2021-08-07,2022-02-03,-18.1775,-16.3328,137.442,139.8969,87.7,2022-02-03
KuroSiwo_567,Australia,Oceania,2021-08-22,2022-03-02,-33.8115,-29.1108,149.1697,153.3753,87.9,2022-03-02
